state,killed,id,injured,KilledOrInjured,date
Florida,1,12,3,4,06 March 2022
Louisiana,0,22,5,5,07 March 2022
Maryland,0,24,4,4,08 March 2022
Massachusetts,0,25,4,4,09 March 2022
Mississippi,2,27,8,10,10 March 2022
North Carolina,1,37,3,4,11 March 2022
Texas,2,48,3,5,12 March 2022
Texas,1,48,3,4,13 March 2022
New Jersey,1,34,3,4,14 March 2022
Virginia,0,51,4,4,15 March 2022
Florida,0,12,4,4,16 March 2022
California,1,6,3,4,17 March 2022
Tennessee,0,47,5,5,18 March 2022
Illinois,1,17,3,4,19 March 2022
Maryland,1,24,3,4,20 March 2022
California,0,6,4,4,21 March 2022
California,0,6,4,4,22 March 2022
Maryland,0,24,7,7,23 March 2022
Nevada,0,32,4,4,24 March 2022
Washington,0,53,5,5,25 March 2022
Georgia,1,13,5,6,26 March 2022
Indiana,3,18,4,7,27 March 2022
District of Columbia,1,11,3,4,28 March 2022
Alaska,1,2,4,5,29 March 2022
New York,1,36,3,4,30 March 2022
Pennsylvania,1,42,6,7,31 March 2022
Louisiana,3,22,2,5,01 April 2022
Louisiana,0,22,5,5,02 April 2022
Illinois,2,17,4,6,03 April 2022
North Carolina,0,37,5,5,04 April 2022
Pennsylvania,0,42,4,4,05 April 2022
Florida,0,12,4,4,06 April 2022
Illinois,1,17,3,4,07 April 2022
Michigan,0,26,7,7,08 April 2022
New Jersey,2,34,7,9,09 April 2022
Tennessee,3,47,3,6,10 April 2022
Louisiana,0,22,4,4,11 April 2022
California,2,6,4,6,12 April 2022
Illinois,0,17,5,5,13 April 2022
Pennsylvania,2,42,3,5,14 April 2022
Arkansas,0,5,4,4,15 April 2022
Arkansas,0,5,5,5,16 April 2022
Illinois,0,17,4,4,17 April 2022
Illinois,0,17,4,4,18 April 2022
New Jersey,0,34,4,4,19 April 2022
New Jersey,0,34,5,5,20 April 2022
New York,1,36,4,5,21 April 2022
New York,2,36,14,16,22 April 2022
California,0,6,4,4,23 April 2022
Georgia,1,13,3,4,24 April 2022
Pennsylvania,2,42,2,4,25 April 2022
Connecticut,1,9,3,4,26 April 2022
New York,0,36,4,4,27 April 2022
Ohio,1,39,4,5,28 April 2022
Georgia,1,13,3,4,29 April 2022
Minnesota,0,27,5,5,30 April 2022
Pennsylvania,0,42,4,4,01 May 2022
Illinois,0,17,4,4,02 May 2022
Iowa,2,19,6,8,03 May 2022
Missouri,0,29,5,5,04 May 2022
Pennsylvania,0,42,4,4,05 May 2022
California,1,6,3,4,06 May 2022
Ohio,1,39,3,4,07 May 2022
Tennessee,0,47,4,4,08 May 2022
Michigan,0,26,6,6,09 May 2022
Ohio,2,39,2,4,10 May 2022
Pennsylvania,0,42,5,5,11 May 2022
Arkansas,1,5,3,4,12 May 2022
Arkansas,0,5,4,4,13 May 2022
Florida,1,12,3,4,14 May 2022
Pennsylvania,0,42,6,6,15 May 2022
South Carolina,1,45,3,4,16 May 2022
Florida,0,12,4,4,17 May 2022
North Carolina,0,37,4,4,18 May 2022
Wisconsin,0,55,7,7,19 May 2022
Arkansas,0,5,4,4,20 May 2022
